,party,result,council,region
0,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Хмільницька міська рада,Вінницька обл.
1,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Хмільницька міська рада,Вінницька обл.
2,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Хмільницька міська рада,Вінницька обл.
3,"Політична партія ""НОВА ПОЛІТИКА""",11.76,Хмільницька міська рада,Вінницька обл.
4,"Політична Партія ""Опозиційний блок""",73.53,Рубіжанська міська рада,Луганська обл.
5,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Козятинська міська рада,Вінницька обл.
6,"Політична Партія ""Опозиційний блок""",66.67,Лисичанська міська рада,Луганська обл.
7,"політична партія Всеукраїнське об’єднання ""Батьківщина""",32.35,Могилів-Подільська міська рада,Вінницька обл.
8,"Політична партія ""НОВА ПОЛІТИКА""",20.59,Жмеринська міська рада,Вінницька обл.
9,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.76,Хмільницька міська рада,Вінницька обл.
10,"Політична партія ""Європейська партія України""",8.82,Хмільницька міська рада,Вінницька обл.
11,"ПОЛІТИЧНА ПАРТІЯ ""ВІННИЦЬКА ЄВРОПЕЙСЬКА СТРАТЕГІЯ""",37.04,Вінницька міська рада,Вінницька обл.
12,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Рубіжанська міська рада,Луганська обл.
13,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Рубіжанська міська рада,Луганська обл.
14,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Козятинська міська рада,Вінницька обл.
15,"Політична партія ""Сила людей""",11.76,Козятинська міська рада,Вінницька обл.
16,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Козятинська міська рада,Вінницька обл.
17,"Політична партія ""Наш край""",26.92,Ладижинська міська рада,Вінницька обл.
18,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Лисичанська міська рада,Луганська обл.
19,Радикальна партія Олега Ляшка,8.33,Лисичанська міська рада,Луганська обл.
20,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Лисичанська міська рада,Луганська обл.
21,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Могилів-Подільська міська рада,Вінницька обл.
22,"Політична Партія ""Опозиційний блок""",11.76,Могилів-Подільська міська рада,Вінницька обл.
23,"Політична Партія ""Опозиційний блок""",44.44,Сєвєродонецька міська рада,Луганська обл.
24,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Жмеринська міська рада,Вінницька обл.
25,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Жмеринська міська рада,Вінницька обл.
26,політична партія Єдиний Центр,8.82,Хмільницька міська рада,Вінницька обл.
27,Радикальна партія Олега Ляшка,5.88,Хмільницька міська рада,Вінницька обл.
28,Аграрна партія України,5.88,Хмільницька міська рада,Вінницька обл.
29,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",18.52,Вінницька міська рада,Вінницька обл.
30,"політична партія Всеукраїнське об’єднання ""Батьківщина""",16.67,Вінницька міська рада,Вінницька обл.
31,"політична партія Всеукраїнське об’єднання ""Свобода""",11.11,Вінницька міська рада,Вінницька обл.
32,"Партія ""Справедливість""",8.82,Рубіжанська міська рада,Луганська обл.
33,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Козятинська міська рада,Вінницька обл.
34,"Політична партія ""Наш край""",8.82,Козятинська міська рада,Вінницька обл.
35,Радикальна партія Олега Ляшка,8.82,Козятинська міська рада,Вінницька обл.
36,"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.08,Ладижинська міська рада,Вінницька обл.
37,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Ладижинська міська рада,Вінницька обл.
38,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Могилів-Подільська міська рада,Вінницька обл.
39,"Політична партія ""Наш край""",8.82,Могилів-Подільська міська рада,Вінницька обл.
40,"Політична партія ""Наш край""",25.0,Сєвєродонецька міська рада,Луганська обл.
41,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.11,Сєвєродонецька міська рада,Луганська обл.
42,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Сєвєродонецька міська рада,Луганська обл.
43,"Політична партія ""Наш край""",11.76,Жмеринська міська рада,Вінницька обл.
44,Народна Партія,11.76,Жмеринська міська рада,Вінницька обл.
45,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Жмеринська міська рада,Вінницька обл.
46,"Політична партія ""Об’єднання ""САМОПОМІЧ""",9.26,Вінницька міська рада,Вінницька обл.
47,"Політична Партія ""Опозиційний блок""",7.41,Вінницька міська рада,Вінницька обл.
48,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",5.88,Козятинська міська рада,Вінницька обл.
49,"Політична партія ""КОНКРЕТНИХ СПРАВ""",5.88,Козятинська міська рада,Вінницька обл.
50,"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" ",11.54,Ладижинська міська рада,Вінницька обл.
51,"політична партія Всеукраїнське об’єднання ""Свобода""",7.69,Ладижинська міська рада,Вінницька обл.
52,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",7.69,Ладижинська міська рада,Вінницька обл.
53,Радикальна партія Олега Ляшка,8.82,Могилів-Подільська міська рада,Вінницька обл.
54,"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Могилів-Подільська міська рада,Вінницька обл.
55,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Олександрійська міська рада,Кіровоградська обл.
56,"Політична Партія ""Опозиційний блок""",14.71,Світловодська міська рада,Кіровоградська обл.
57,"Політична Партія ""Опозиційний блок""",47.06,Токмацька міська рада,Запорізька обл.
58,політична партія Єдиний Центр,47.22,Мукачівська міська рада,Закарпатська обл.
59,Радикальна партія Олега Ляшка,5.56,Сєвєродонецька міська рада,Луганська обл.
60,"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Сєвєродонецька міська рада,Луганська обл.
61,"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.88,Жмеринська міська рада,Вінницька обл.
62,Радикальна партія Олега Ляшка,5.88,Жмеринська міська рада,Вінницька обл.
63,"Партія ""Відродження""",25.0,Ужгородська міська рада,Закарпатська обл.
64,"Політична Партія ""Опозиційний блок""",20.59,Знам'янська міська рада,Кіровоградська обл.
65,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",21.43,Кіровоградська міська рада,Кіровоградська обл.
66,"Політична партія ""Наш край""",23.53,Обухівська міська рада,Київська обл.
67,Радикальна партія Олега Ляшка,3.85,Ладижинська міська рада,Вінницька обл.
68,"Політична Партія ""Опозиційний блок""",22.22,Олександрійська міська рада,Кіровоградська обл.
69,"Політична партія ""Об’єднання ""САМОПОМІЧ""",13.89,Олександрійська міська рада,Кіровоградська обл.
70,"політична партія Всеукраїнське об’єднання ""Батьківщина""",13.89,Олександрійська міська рада,Кіровоградська обл.
71,"політична партія Всеукраїнське об’єднання ""Свобода""",14.71,Світловодська міська рада,Кіровоградська обл.
72,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Світловодська міська рада,Кіровоградська обл.
73,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Світловодська міська рада,Кіровоградська обл.
74,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Токмацька міська рада,Запорізька обл.
75,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Токмацька міська рада,Запорізька обл.
76,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Токмацька міська рада,Запорізька обл.
77,"Партія ""Відродження""",25.0,Мукачівська міська рада,Закарпатська обл.
78,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.11,Мукачівська міська рада,Закарпатська обл.
79,"""КМКС"" Партія угорців України",8.33,Мукачівська міська рада,Закарпатська обл.
80,"політична партія Всеукраїнське об’єднання ""Свобода""",5.88,Жмеринська міська рада,Вінницька обл.
81,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Ужгородська міська рада,Закарпатська обл.
82,"Політична партія ""ПАТРІОТ""",13.89,Ужгородська міська рада,Закарпатська обл.
83,політична партія Єдиний Центр,8.33,Ужгородська міська рада,Закарпатська обл.
84,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Знам'янська міська рада,Кіровоградська обл.
85,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Знам'янська міська рада,Кіровоградська обл.
86,"Політична партія ""Сила людей""",11.76,Знам'янська міська рада,Кіровоградська обл.
87,"Політична партія ""Наш край""",16.67,Кіровоградська міська рада,Кіровоградська обл.
88,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.29,Кіровоградська міська рада,Кіровоградська обл.
89,"Політична Партія ""Опозиційний блок""",11.9,Кіровоградська міська рада,Кіровоградська обл.
90,"Політична партія ""Об’єднання ""САМОПОМІЧ""",14.71,Обухівська міська рада,Київська обл.
91,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Обухівська міська рада,Київська обл.
92,Радикальна партія Олега Ляшка,11.11,Олександрійська міська рада,Кіровоградська обл.
93,"Політична партія ""Сила людей""",8.33,Олександрійська міська рада,Кіровоградська обл.
94,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.76,Світловодська міська рада,Кіровоградська обл.
95,Радикальна партія Олега Ляшка,8.82,Світловодська міська рада,Кіровоградська обл.
96,Радикальна партія Олега Ляшка,8.82,Токмацька міська рада,Запорізька обл.
97,"Політична партія ""Наш край""",5.88,Токмацька міська рада,Запорізька обл.
98,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Мукачівська міська рада,Закарпатська обл.
99,"Політична партія ""Наш край""",8.33,Ужгородська міська рада,Закарпатська обл.
100,"Політична партія ""Європейська партія України""",8.33,Ужгородська міська рада,Закарпатська обл.
101,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Ужгородська міська рада,Закарпатська обл.
102,"Партія ""Відродження""",8.82,Знам'янська міська рада,Кіровоградська обл.
103,Радикальна партія Олега Ляшка,8.82,Знам'янська міська рада,Кіровоградська обл.
104,"політична партія Всеукраїнське об’єднання ""Свобода""",8.82,Знам'янська міська рада,Кіровоградська обл.
105,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",9.52,Кіровоградська міська рада,Кіровоградська обл.
106,"Політична партія ""Об’єднання ""САМОПОМІЧ""",7.14,Кіровоградська міська рада,Кіровоградська обл.
107,"Політична партія ""Рідне місто""",7.14,Кіровоградська міська рада,Кіровоградська обл.
108,"Політична партія ""Сила людей""",11.76,Обухівська міська рада,Київська обл.
109,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Обухівська міська рада,Київська обл.
110,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Обухівська міська рада,Київська обл.
111,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.33,Олександрійська міська рада,Кіровоградська обл.
112,"Політична Партія ""Опозиційний блок""",26.92,Южненська міська рада,Одеська обл.
113,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Світловодська міська рада,Кіровоградська обл.
114,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.82,Світловодська міська рада,Кіровоградська обл.
115,Партія Пенсіонерів України,8.82,Світловодська міська рада,Кіровоградська обл.
116,"Політична Партія ""Опозиційний блок""",26.47,Котовська міська рада,Одеська обл.
117,"Політична Партія ""Опозиційний блок""",25.0,Іллічівська міська рада,Одеська обл.
118,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",77.78,Ізмаїльська міська рада,Одеська обл.
119,"Політична Партія ""Опозиційний блок""",35.29,Білгород-Дністровська міська рада,Одеська обл.
120,"Політична партія ""КОНКРЕТНИХ СПРАВ""",23.08,Теплодарська міська рада,Одеська обл.
121,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Ужгородська міська рада,Закарпатська обл.
122,"""КМКС"" Партія угорців України",5.56,Ужгородська міська рада,Закарпатська обл.
123,"Політична партія ""Рідне місто""",30.56,Шосткинська міська рада,Сумська обл.
124,Партія Пенсіонерів України,5.88,Знам'янська міська рада,Кіровоградська обл.
125,"Політична партія ""Воля""",5.88,Знам'янська міська рада,Кіровоградська обл.
126,"Політична партія ""За Україну!""",17.65,Роменська міська рада,Сумська обл.
127,Радикальна партія Олега Ляшка,7.14,Кіровоградська міська рада,Кіровоградська обл.
128,"політична партія Всеукраїнське об’єднання ""Свобода""",4.76,Кіровоградська міська рада,Кіровоградська обл.
129,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Обухівська міська рада,Київська обл.
130,Радикальна партія Олега Ляшка,5.88,Обухівська міська рада,Київська обл.
131,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Южненська міська рада,Одеська обл.
132,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.23,Южненська міська рада,Одеська обл.
133,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Котовська міська рада,Одеська обл.
134,"Партія ""Відродження""",17.65,Котовська міська рада,Одеська обл.
135,"Партія ""Відродження""",25.0,Іллічівська міська рада,Одеська обл.
136,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",22.22,Іллічівська міська рада,Одеська обл.
137,"Політична Партія ""Опозиційний блок""",22.22,Ізмаїльська міська рада,Одеська обл.
138,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Білгород-Дністровська міська рада,Одеська обл.
139,"Політична партія ""ДОВІРЯЙ ДІЛАМ""",11.76,Білгород-Дністровська міська рада,Одеська обл.
140,"Політична Партія ""Опозиційний блок""",19.23,Теплодарська міська рада,Одеська обл.
141,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Теплодарська міська рада,Одеська обл.
142,Народна Партія,15.38,Теплодарська міська рада,Одеська обл.
143,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",13.89,Шосткинська міська рада,Сумська обл.
144,"Політична партія ""Наш край""",11.11,Шосткинська міська рада,Сумська обл.
145,Радикальна партія Олега Ляшка,17.65,Роменська міська рада,Сумська обл.
146,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.71,Роменська міська рада,Сумська обл.
147,"політична партія Всеукраїнське об’єднання ""Свобода""",14.71,Роменська міська рада,Сумська обл.
148,Аграрна партія України,11.54,Южненська міська рада,Одеська обл.
149,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",7.69,Южненська міська рада,Одеська обл.
150,"Політична партія ""Наш край""",7.69,Южненська міська рада,Одеська обл.
151,"Політична партія ""Наш край""",8.82,Котовська міська рада,Одеська обл.
152,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Котовська міська рада,Одеська обл.
153,Радикальна партія Олега Ляшка,8.82,Котовська міська рада,Одеська обл.
154,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.11,Іллічівська міська рада,Одеська обл.
155,Молодіжна партія України,8.33,Іллічівська міська рада,Одеська обл.
156,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Іллічівська міська рада,Одеська обл.
157,"Політична партія ""Наш край""",8.82,Білгород-Дністровська міська рада,Одеська обл.
158,"Партія ""Відродження""",8.82,Білгород-Дністровська міська рада,Одеська обл.
159,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Білгород-Дністровська міська рада,Одеська обл.
160,Українська морська партія Сергія Ківалова,15.38,Теплодарська міська рада,Одеська обл.
161,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Теплодарська міська рада,Одеська обл.
162,"Політична Партія ""Опозиційний блок""",11.11,Шосткинська міська рада,Сумська обл.
163,Радикальна партія Олега Ляшка,8.33,Шосткинська міська рада,Сумська обл.
164,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.33,Шосткинська міська рада,Сумська обл.
165,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Роменська міська рада,Сумська обл.
166,"Партія ""Відродження""",11.76,Роменська міська рада,Сумська обл.
167,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",8.82,Роменська міська рада,Сумська обл.
168,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Миргородська міська рада,Полтавська обл.
169,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Лубенська міська рада,Полтавська обл.
170,"Партія ""Відродження""",7.69,Южненська міська рада,Одеська обл.
171,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Охтирська міська рада,Сумська обл.
172,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Котовська міська рада,Одеська обл.
173,"Політична партія ""Громадянська позиція""",20.59,Лебединська міська рада,Сумська обл.
174,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",43.33,міська міська рада,"Україна, обл."
175,"ПОЛІТИЧНА ПАРТІЯ ""ПОРУЧ""",16.67,Кременчуцька міська рада,Полтавська обл.
176,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",50.0,Комсомольська міська рада,Полтавська обл.
177,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",19.05,Полтавська міська рада,Полтавська обл.
178,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Шосткинська міська рада,Сумська обл.
179,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.33,Шосткинська міська рада,Сумська обл.
180,"Партія ""Відродження""",11.76,Миргородська міська рада,Полтавська обл.
181,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Миргородська міська рада,Полтавська обл.
182,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Миргородська міська рада,Полтавська обл.
183,"Політична партія ""Рідне місто""",11.76,Миргородська міська рада,Полтавська обл.
184,Радикальна партія Олега Ляшка,11.76,Лубенська міська рада,Полтавська обл.
185,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Лубенська міська рада,Полтавська обл.
186,"Політична Партія ""Опозиційний блок""",11.76,Лубенська міська рада,Полтавська обл.
187,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",11.76,Лубенська міська рада,Полтавська обл.
188,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Охтирська міська рада,Сумська обл.
189,"Партія ""Відродження""",11.76,Охтирська міська рада,Сумська обл.
190,Радикальна партія Олега Ляшка,11.76,Охтирська міська рада,Сумська обл.
191,"Політична Партія ""Опозиційний блок""",8.82,Охтирська міська рада,Сумська обл.
192,"Політична партія ""Сила людей""",8.82,Охтирська міська рада,Сумська обл.
193,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Лебединська міська рада,Сумська обл.
194,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Лебединська міська рада,Сумська обл.
195,Радикальна партія Олега Ляшка,14.71,Лебединська міська рада,Сумська обл.
196,"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",11.76,Лебединська міська рада,Сумська обл.
197,"Політична партія ""Об’єднання ""САМОПОМІЧ""",18.33,міська міська рада,"Україна, обл."
198,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14.17,міська міська рада,"Україна, обл."
199,"Українська партія ""Єдність""",12.5,міська міська рада,"Україна, обл."
200,"політична партія Всеукраїнське об’єднання ""Свобода""",11.67,міська міська рада,"Україна, обл."
201,"Політична Партія ""Опозиційний блок""",16.67,Кременчуцька міська рада,Полтавська обл.
202,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.29,Кременчуцька міська рада,Полтавська обл.
203,"Політична партія ""Рідне місто""",14.29,Кременчуцька міська рада,Полтавська обл.
204,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.9,Кременчуцька міська рада,Полтавська обл.
205,"політична партія Всеукраїнське об’єднання ""Батьківщина""",9.52,Кременчуцька міська рада,Полтавська обл.
206,"Політична Партія ""Опозиційний блок""",17.65,Комсомольська міська рада,Полтавська обл.
